proj_unixname	description
auto-nethack	Configure Nethack using the familiar \\\\\\&#039;./configure\\\\\\&#039; command that the GNU tools have made so popular.  No more having to edit Makefiles or config files.  This is a complete distrubition of the latest Nethack (minus bugfix patches that haven
auto-persist-j	This project aims to assist developers in developing java EE persistance layer for existing database tables. It gets metadata of selected database tables and generates classes for them. it uses and extends the ideas of DbGen project to EJB 3.0 POJO.
auto-phlip-ml	Auto PHLIP-ML automatically removes extraneous images from CLSM stacks. This iterative operation removes bias in the Otsu threshold calcualtion. Auto PHLIP-ML integrates with the image analysis program PHLIP by automatically creating the PHLIP-ML file.
auto-pilot	Auto Pilot is a web application that deploys J2EE build products to groups of computers. It complements continuous integration systems by deploying their products, works with different makes of application server, does scheduled and immediate deployments
auto-radio	The Java-based Radio Automation System provides a scriptable automation suite for radio stations.  It is currently plays MP3s and WAV files, and can read from standard M3U playlists.  RAS implements and uses the JavaZoom JavaLayer package for MP3 support
auto-rss-import	Automatically imports content items from various RSS feeds into your WordPress (2.0 or higher) site. Very configurable, easy to install, and fully automated -- it will keep your site updated with fresh content.
auto-rsync	auto-ftp-sync is tool that checks for added/updated (via MD5) /moved/removed files in a project directory and mirrors any changes to a remote FTP server. It supports multiple profiles &amp; is intended to aid developing website&#039;s &amp; written in/fo
auto-sched	Auto-Sched est un logiciel servant ? cr?er automatiquement des horaires de travail. Il tient compte des disponibilit?s des employ?s et des besoins de l&#039;employeur.
auto-transcode	Auto-Transcode is a simple GTK2 GUI for Transcode that allows you to easily convert between DVD, DivX, XviD, VCD, SVCD and other formats. It&#039;s very simple, usually just one click is required...
autoaccept-sink	The AutoAccept Sink for Exchange processes resource reservation requests sent to a mailbox. It is server-based and does not require an Outlook client. If you use an Exchange 5.5 event script today and are migrating to Exchange 2000 then this is for you.
autoadmin	A set of perl scripts designed to assist an admin in maintaining networked systems. Useful item such as automatically updating client sysems and tracking. Initial design will maintain / monitor Redhat Linux systems.
autoalert	AutoAlert is a light-weight C# project for monitoring servers and sending automated alerts based on the server&#039;s condition and user specified settings.  It supports several logging/monitoring options, the ability to RDP to monitored servers, configu
autoalien	AutoAlien is a project which aims at providing Debian Woody and future LindowsOS users with the ability to install popular RPM&#039;s with two clicks of a mouse.
autoap	AutoAP is an add on to DD-WRT that allows routers to continuously scan for and connect to open (and predefined WEP) wireless networks. Ultimately the goal is to develop an easily deployable firmware that facilitates fast and easy mesh network creation.
autoarchiv	Automatic MP3 Database and other formats
autobackup	This program is to help people to shedule the backup of their MySql databases without using the AT command. It siply opens the Dialog windows for the easy changing of the settings.
autobaiter	A system to automatically bait 419 scammers
autobcdef	AutoBCDEF is a command line application which allows for CD ripping and transcoding to multiple formats.
autobeatmatch	Would like to build an Auto-Beatmatching software for DJ/RADIO application.
autoblogger	Autoblogger will read recent del.icio.us bookmarks marked with a specified tag and create a link to them with the page title, as well as quote a random (filtered, given simple heuristics) excerpt of the text.
autobudget	AutoBudget takes your homebanking data and automatically generates a report that is very suitable for creating budgets. If you have homebanking data for one year back, and your economy hasn&#039;t changed much, you might almost use the report as the budg
autobuild	Autobuild allows platform specific configuration of software build processes to be defined in declarative Buildfiles. Autobuild automates software construction by executing build processes somultaneously on a number of different platfrooms.
autocalendar	A highly customizable and easy to install web app, Auto Calendar is a multi-purpose time management tool, handling dates, events and many other aspects you might clutter a normal desk calendar with. Comes with a number of specialized calendar tools.
autocar	The autocar project seeks to develop an autonomous ground vehicle. The project scope includes the design of the vehicle hardware and embeeded software, additional server side/PC software will be needed as well.
